TP1;TIRA;TP2;ECH;PER;NDEP;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;TOIS;TDIS;TDIP;TDMO;TDMD;TFIN
4;002;001;032;01;03;1;02;32;010005;003017;05;;;;;;2475;3713;3713;133;333;0
4;002;001;032;01;04;1;05;21;005006;025002;02;1;1;2;2;00;2658;3687;3687;333;133;0
4;002;001;032;01;05;1;02;21;025002;002006;05;1;1;4;3;03;2976;3834;3834;133;333;0
4;002;001;032;02;01;1;05;32;002004;018005;02;;;;;;3625;5437;5437;333;133;0
4;002;001;032;02;02;1;02;32;018005;002004;10;;;;;;3625;5437;5437;133;667;0
4;002;001;065;01;01;1;02;21;001002;035006;02;1;1;2;2;02;5148;6264;6264;133;133;0
4;002;001;065;01;02;1;02;21;035006;200016;01;1;1;2;2;01;47480;56209;32925;133;67;0
4;002;001;065;01;03;1;01;21;200016;001002;02;1;1;4;3;00;42616;50361;28007;67;133;0
4;002;001;074;01;01;1;12;21;003009;032551;00;1;1;1;2;00;7189;9124;9124;800;0;0
4;002;001;074;01;02;1;00;21;032551;003009;12;1;1;1;2;00;7189;9116;9116;0;800;0
4;002;001;075;01;01;1;05;32;001011;023001;05;;;;;;4239;6359;6359;333;333;0
4;002;001;075;01;02;1;00;22;023004;040451;00;;;;;;1304;2916;2916;0;0;0
4;002;001;075;01;03;2;01;32;023001;002005;05;;;;;;4774;7162;7162;67;333;0
4;002;001;075;01;03;1;00;22;040451;023001;01;;;;;;2057;3575;3575;0;67;0
4;002;001;085;02;02;1;00;32;001011;022006;10;;;;;;1966;2949;2949;0;667;0
4;002;001;085;02;04;1;00;32;001011;022007;05;;;;;;1883;2824;2824;0;333;0
4;002;001;085;02;05;1;05;11;022007;001011;05;0;1;2;2;00;1883;2287;2287;333;333;0
4;002;001;111;01;01;1;02;32;002005;022006;00;;;;;;2625;3938;3938;133;0;0
4;002;001;111;01;01;2;00;31;022007;025002;00;;;;;;633;949;949;0;0;0
4;002;001;111;01;02;1;10;32;022006;006011;05;;;;;;1378;2067;2067;667;333;0
4;002;001;111;02;03;1;01;32;002005;022002;05;;;;;;3018;4527;4527;67;333;0
4;002;001;111;02;04;1;00;22;022002;001008;02;;;;;;2205;2637;2637;0;133;0
4;002;001;140;01;01;1;00;21;002001;045004;00;1;1;1;2;00;9184;12912;12912;0;0;0
4;002;001;140;01;02;1;00;21;045004;002001;00;1;1;1;2;00;9184;13325;13325;0;0;0
4;002;001;173;01;01;1;10;22;009001;044007;99;;;;;;8921;15778;15778;667;6600;0
4;002;001;173;01;02;1;99;22;044007;009001;10;;;;;;8921;15497;15497;6600;667;0
4;002;001;186;01;01;1;05;32;001011;022006;01;;;;;;1966;2949;2949;333;67;0
4;002;001;186;01;01;2;01;31;022007;025002;02;;;;;;633;949;949;67;133;0
4;002;001;186;01;04;1;10;32;022006;001011;05;;;;;;1966;2949;2949;667;333;0
4;002;001;186;01;05;1;01;11;002001;009010;01;0;1;3;2;00;1248;1714;1714;67;67;0
4;002;001;186;01;06;1;01;11;009010;002001;01;0;1;2;2;00;1248;1714;1714;67;67;0
4;002;001;194;01;01;1;03;32;002007;022007;01;;;;;;2124;3186;3186;200;67;0
4;002;001;194;01;02;1;01;32;022007;002007;03;;;;;;2124;3186;3186;67;200;0
4;002;001;194;01;03;1;03;32;002007;022007;01;;;;;;2124;3186;3186;200;67;0
4;002;001;194;01;04;1;01;32;022007;002007;03;;;;;;2124;3186;3186;67;200;0
4;002;001;194;01;05;1;03;32;002007;022007;01;;;;;;2124;3186;3186;200;67;0
