PP1;TIRA;PP2;ECH;PER;DATE;PENQ;JOURDEP;P2;P3;P4;P7;P8;P9;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24A;P11A;P25;P26;PL27;PL28;P12A;P12B;P12C;P12D;P12E;P12F;P1;COE1;COEP;DP13;PFIN
2;067;011;048;03;051213;1;3;2;3;17;2;0;5;5;075351;;;;5;5;2;5;1;5;7;1;;5;1;4;4;3;4;4;;1;38.53339;38.53339;11000;0
2;067;012;087;03;290114;1;2;2;3;12;2;0;5;5;067010;;;;1;5;5;5;1;4;7;1;;5;5;4;4;4;4;4;;1;61.99322;61.99322;1617;0
2;067;012;087;04;290114;1;2;1;3;07;2;0;5;5;067010;;;;1;5;5;5;1;4;7;1;;5;5;4;4;4;4;4;;1;130.1927;130.1927;1617;0
2;067;012;087;01;290114;1;2;1;1;41;1;5;1;5;067012;3;;3;1;5;5;2;2;4;5;1;6;5;4;4;4;4;4;4;;1;80.19468;80.19468;1313;0
2;067;012;087;02;290114;1;2;2;2;39;1;5;1;5;074151;1;2;;1;5;5;1;2;4;4;1;1;5;5;4;4;4;4;4;;1;120.4345;120.4345;7529;0
2;067;012;065;01;121213;1;3;1;1;25;1;3;2;5;888888;;;;1;4;1;1;1;5;6;1;6;5;5;4;4;4;4;4;;1;79.01663;79.01663;0;0
2;067;013;018;01;201113;1;2;1;1;69;1;1;7;;;;;;5;4;5;1;5;5;6;1;;5;5;4;4;4;4;4;;1;65.01011;65.01011;0;0
2;067;014;115;01;010414;1;1;1;1;50;1;4;1;5;071004;1;2;;1;2;5;1;1;4;6;1;1;5;5;4;4;4;4;4;;1;71.84915;71.84915;9110;0
2;067;014;115;02;010414;1;1;2;3;18;3;0;5;5;009351;4;;1;1;5;5;1;1;1;7;1;;2;2;3;4;3;3;4;3;1;115.4509;115.4509;21601;0
2;067;016;068;02;250114;1;5;2;2;59;1;6;1;5;022152;1;3;;5;5;5;1;4;4;3;1;1;5;5;4;4;4;4;4;;1;110.0333;110.0333;26009;0
2;067;016;068;01;250114;1;5;1;1;60;1;6;1;5;888888;;;;1;5;5;1;4;5;2;1;1;5;5;4;4;4;4;4;;1;110.0333;110.0333;0;0
2;067;017;010;01;151013;1;1;1;1;78;1;6;7;;;;;;2;5;5;2;5;4;3;1;;3;4;4;4;4;4;4;;1;65.01011;65.01011;0;0
2;067;017;020;01;051113;1;1;2;2;75;1;2;7;;;;;;1;4;5;2;5;5;5;1;;5;5;4;4;4;4;4;;1;88.77475;88.77475;0;0
